"%s already exist","%s已存在"
"%s already exists","%s已存在"
"-- Please Select --","-- 请选择 --"
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","请在该栏目中仅使用字符（a-z）或数字（0-9），不允许空格或点等字符。"
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","请在该栏目中仅使用字符（a-z）或数字（0-9）或空格或#符号。"
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","请在该栏目中仅使用字符（a-z），数字（0-9）或下划线（_）。第一个字必须是字母。"
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","请使用此日期格式：dd/mm/yyyy。例如：17/03/2006为三月十七日， 二00六。"
"Please wait, loading...","加载中...请稍候。"
"Polls","问卷投票"
"Port (25)","端口 (25)"
"Profiler","配置器"
"Prototype Deprecation Log","Prototype Deprecation 日志"
"Request path for specified store","需要输入商店的路径"
"Requested invalid store ""%s""","所要求的商店错误 ""%s"""
"Resource is not set","资源未设置"
"Root Category","主（根）目录"
"SMTP settings (Windows server only)","SMTP 设置（仅限 Windows 主机）"
"Sales representative","业务代表"
"Save","储存"
"Save Store","储存商店"
"Save Store View","储存商店界面"
"Save Website","储存网站"
"Search Engines Optimization","搜寻优化"
"Secure","安全"
"Security","保安"
"Select Date","选择日期"
"Sender email","发件人地址"
"Sender name","发件人姓名"
"Services","服务"
"Session Cookie management","Session Cookie 管理"
"Session Validation Settings","Session认证设置"
"Set as default","设为默认"
"Skin (Images / CSS)","皮肤 (图像/CSS)"
"Sort order","排序"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","指定的日期/时间 ""%1$s""和""%2$s""格式不匹配。"
"Specify either category or product, or both.","指定分类或商品，或两者。"
"Start date can't be greater than end date","开始日期不能大于结束日期"
"Startup page","起始页"
"Status","状态"
"Store","商店"
"Store Email Addresses","商店电邮地址"
"Store Information","商店信息"
"Store Name","商店名"
"Store View","商店界面"
"Store View Information","商店界面信息"
"Store View Name","商店界面名"
"Store View was successfully saved","成功保存商店界面"
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","商店代码只能含字母(a-z)、数字(0-9)或下划线(_)，第一个字符必须是字母"
"Store doesn't exist","商店记录不存在"
"Store view doesn't exist","商店界面不存在"
"Store view was successfully deleted.","成功删除商店视图。"
"Store was successfully deleted.","成功删除商店。"
"Store was successfully saved","成功保存商店"
"Store with the same code","同样名字的商店代号"
"System","系统"
"System Log File Name","系统日志文件名"
"Template Path Hints","模版路径提示"
"Templates","模版"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","您输入的%s不正确，请确定您使用""http://domain.com/""格式。"
"Themes","模版（Themes）"
"This category and all its child elements","仅于此目录和其子分类及商品。"
"This category and its child categories only","仅于此目录和其子分类。"
"This category and its products only","仅于此目录和其商品。"
"This category only","仅于此目录"
"This store cannot be deleted","无法删除商店"
"This store cannot be deleted.","此商店无法删除。"
"This store view cannot be deleted","无法删除商店视图"
"This store view cannot be deleted.","此商店界面无法删除。"
"This website cannot be deleted","无法删除网站"
"This website cannot be deleted.","此网站无法删除。"
"This will be displayed just before body closing tag","在这里输入的将被显示在主体之前"
"This will be included before head closing tag in page HTML","这里输入的将包含在页面HTML头标签之前"
"Timezone","时区"
"Title Prefix","标题前缀"
"Title Suffix","标题后缀"
"Translate Inline","内文（inline）翻译"
"Translate cache should be disabled for both Frontend and Admin inline translations","使用前后台内联翻译均须禁用翻译缓存"
"Translations","翻译"
"Unable to delete store view. Please, try again later.","无法删除商店界面。请稍后再试。"
"Unable to delete store. Please, try again later.","无法删除商店。请稍后再试。"
"Unable to delete website. Please, try again later.","无法删除网站。请稍后再试。"
"Unable to proceed. Please, try again","无法进行操作，请重试"
"Unknown scope ""%s""","未知范围""%s"""
"Unsecure","不安全"
"Url Options","Url选项"
"Use HTTP Only","仅使用HTTP"
"Use Secure URLs in Admin","使用安全URLs于后台管理"
"Use Secure URLs in Frontend","使用安全URLs于前台"
"Use Web Server Rewrites","使用Web Server Rewrites"
"Use custom admin URL","使用自定义管理 URL"
"Validate HTTP_USER_AGENT","检验 HTTP_USER_AGENT"
"Validate HTTP_VIA","检验 HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","检验HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","检验 REMOTE_ADDR"
"Web","网站"
"Website","网站"
"Website Information","网站信息"
"Website Name","网站名"
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","网站代码只能含字母(a-z)、数字(0-9)或下划线(_)，第一个字符必须是字母"
"Website doesn't exist","网站不存在"
"Website was successfully deleted.","成功删除网站。"
"Website was successfully saved","成功保存网站"
"Website with the same code","网站代码重复"
"Weekend Days","周末（您欲设置的一周结束之日）"
"Welcome Text","欢迎文字"
"Wrong number of arguments for %s","%s的参数数量错误"
"Yes","是"
"Your order can not be completed at this time as there is no payment methods available for it.","缺少可用的支付方式，暂时无法完成您的订单。"
"Your session has been expired, you will be relogged in now.","您的session已过期，请重新登录。"
"Connect with Us","关注我们"
"Please select...","请选择…"
"View All","查看全部"
"Central/Central","熙熙网"
"FREE SHIPPING","免费配送"
"on orders over 600","消费超过600元即免邮"
"SHOPPING GUIDE","购物指南"
"SHOPPING NOW","立即购物"
"VIP SHARING","VIP 专享"
"8.5 discount all the year","独享全年8.5折"
"# Please do not reply this email.For any inquiry or concern,please email to %s","# 这是电邮系统自动发出的讯息，请勿回复。"
"# To unsubscribe and stop receiving further updates,please change <a href=""%s"">your account</a> setting.If there are any problem,please refer to our website terms.","# 熙熙网根据您的偏好设定发送这些电邮。如果不想收到类似的电邮，请变更<a href=""%s"">您的账户</a>设定。如有任何疑问，请参阅网站使用条款及细则。"
"All rights reserved","版权所有"
"Follow our Official Weibo","关注熙熙网官方微博"
