"* Required Fields","* 必填項"
"Skip import row, required field ""%s"" not defined","忽略導入行，必填欄目 ""%s"" 為定義"
"Skip import row, website ""%s"" field not exists","忽略導入行，網站 ""%s"" 欄不存在"
"State/Province","區"
"Status","狀態"
"Store","商店"
"Store View","商店界面"
"Street Address","地址"
"Street Address ","地址"
"Subject","標題"
"Submit","提交"
"Subscribe","訂閱"
"Subscribe to newsletter","訂閱newsletter"
"Subscribed to Newsletter?","訂閱newsletter？"
"Suffix","後綴"
"Suffix dropdown options","後綴下拉選項"
"Tag Name","標籤名字"
"Tax Class","稅率"
"Tax class","稅率"
"Tax/VAT number","顯示稅號/增值稅號碼"
"Telephone","電話"
"Text","文字"
"Text One Line","一行文字"
"The suffix that goes after name (Jr., Sr., etc.)","用於名字之後 (Jr., Sr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","尊稱（)如先生，女士等）"
"There are no items in customer's wishlist at the moment","顧客的收藏裡沒有商品。"
"There are no items in customer's shopping cart at the moment","顧客的購物車裡沒有商品。"
"There was an error while deleting the address","刪除地址出錯"
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","帳號確認後將發送此郵件（而非缺省歡迎郵件）。"
"This customer has no saved addresses.","此顧客沒有儲存地址。"
"This e-mail does not require confirmation.","此電子郵件不需要驗證。"
"This email address was not found in our records","沒有找到該電子郵件地址"
"This is My Primary %s Address","這是我的首選%s地址"
"To Cart","到購物車"
"To collect your online order at CENTRAL/CENRTAL flagship store, please select ""Central/Central Store"".","爲了能夠在熙熙網旗艦店收集到您的在線訂單，請選擇""Central/Central 店鋪""。"
"Total","總額"
"Type","類型"
"You are now logged out","登出"
"You can redeem your points for these rewards:","您可以用積分兌換以下禮物："
"You have logged out and will be redirected to our homepage in 5 seconds.","您已經登出，5秒鐘後將會自動跳轉到我們的首頁。"
"You have not set a default billing address.","您還沒有添加默認地址。"
"Unknown","未知"
"Unsubscribe from newsletter","退訂郵件列表"
"Update","更新"
"Update customer address data","更新用戶地址數據"
"Update customer data","更新用戶數據"
"Use as My Primary %s Address","作為我的首選%s地址"
"Use as my default billing address","設置為默認賬單地址"
"Use as my default shipping address","設置為默認配送地址"
"User description","用戶說明"
"View","查看"
"View Order","查看訂單"
"View Order List","查看訂單列表"
"Visible In","可見"
"Visitor","訪客"
"Visitors Only","僅限訪客"
"Website","網站"
"Welcome Email","歡迎郵件"
"With every dollar you spend at Central/Central, one bonus point is added to your account.","您在熙熙網消費的每一元錢都會轉換成積分添加到您的賬戶中。"
"Wishlist","收藏"
"Wish List","我的收藏"
"Wishlist - %d item(s)","收藏 - %d"
"Wrong email.","錯誤的電郵"
"Wrong region id by selected country","已選國家的地區編號不正確"
"Wrong transactional account email type.","錯誤的交易帳號電子郵件類型。"
"XML","XML"
"YYYY","年"
"You have no additional address entries in your address book.","您的地址簿中沒有額外的地址。"
"Year","年"
"ZIP","郵編"
"ZIP/Post Code","郵編"
"ZIP/Postal Code","郵編"
"Zip/Postal Code","郵編"
"Postal Code","區號"
"n/a","空"
"or","或"
"Email Address","電子郵箱"
"Password","密碼"
"Forgot Your Password?","忘記密碼?"
"Welcome,","歡迎您，"
"Welcome, Guest ","歡迎您，訪客 "
"Sign out","退出"
"Sign in","登錄"
"Create an account","立即註冊"
"Sign In","登錄"
"Remember Me","記住我"
"Sign in with","以Facebook帳戶登錄"
"Subscribe me to the e-newsletter","訂閱電子雜誌"
"Surname","姓氏"
"Thank you for registering with Default Store.","謝謝您的註冊。"
"Return Request","退換貨申請"
"MY MEMBERSHIP","我的會籍"
"How to earn reward points?","如何賺取積分"
"Gift Redemption","禮品兌換"
"VIP Class:","VIP等級:"
"VIP Discount:","VIP折扣:"
"Points to upgrade to Silver","升級到銀卡所需的積分"
"Points to upgrade to Gold","升級到金卡所需的積分"
"Redeemable Points:","可兌換積分: "
"Expiry Date:","有效期:"
"Bonus Point","積分"
"Points","積分"
"General Member","普通會員"
"Sliver","銀卡"
"Gold","金卡"
"Surname:","姓氏:"
"Name:","姓名:"
"Email Address:","電子郵箱："
"E-Newsletter:","電子雜誌:"
"Your password must be between 6-12 characters","您的密碼必須是6-12字符以內"
"Save Changes","保存更改"
"New Shipping Address","添加配送地址"
"If shipping to a work address, please include the company name","如果送貨地址是您的工作地址，請填寫公司名稱。"
"Set as Default","設置為默認地址"
"You can check your recent orders and update your account information.Selecting folowed links to view or edit information.","您可以查看您最近的訂單活動的快照和更新您的帳戶信息的能力。選擇下面的鏈接，查看或編輯信息。活動的快照和更新您的帳戶信息的能力。您可以查看您最近的信息。可以查看您最近的選擇下面的鏈接。"
"You have no RMA requests","暫時沒有退換貨的訂單。"
"New Return Request","新退換貨申請"
"Selecting folowed links to view or edit information.","可以查看您最近的選擇下面的鏈接。"
"Ticket No.","退換貨單號"
"View Request","查看詳情"
"Cancel","取消"
"Resolved (refunded)","審核通過"
"New Request Information","新退換貨申請"
"Items Ordered","已購貨品"
"Please clicked the item(s) needed to return.","請選擇退換貨品."
"Item(s)","貨品"
"SKU No.","商品號碼"
"Quantity","數量"
"Please select order","請選擇訂單"
"Submit Request","提交"
"Package Opened","包裝已打開？"
"Request Type","申請類型"
"Yes","是"
"No","否"
"Return","退貨"
"Exchange","換貨"
"No order selected","沒有選定訂單"
"Your VIP Class","您的VIP等級"
"VIP Discount","VIP折扣"
"Your Bonus Point","您的積分"
"Upgrade to Gold","升值至金卡?"
"I agree to Central/Central <a href=""%s"">terms of use</a>","我同意並承諾遵守CentralCentralShop.com的<a href=""%s"" target=""_blank"">使用條款</a>。"
"Are you a VIP?","您是VIP嗎？"
"Mobile No.","手機號碼"
"Not Allowed To be Blank","不允許為空"
"Not Match Rule of Email","郵件名不匹配"
"Weibo Id:","微博 ID:"
"Associate Weibo Account","連接微博賬號"
"Rebind  Weibo Account","立即註冊"
"Cancel Weibo Binding","取消微博綁定"
"Weibo Uid Not OAuthed","沒有獲取到您的微博ID"
"Please fill in your email to reset your password","請填寫您的賬戶電郵以重設您的新密碼"
"Dashboard","我的帳戶"
"Return / Exchange","退換貨申請"
"First Name","名字"
"Last Name","姓氏"
